Color,Breed_Group,Sex upon Intake,Intake Type,Location_Group,Age_Days,Name,Animal ID
Tan,Mixed,Intact Female,Owner Surrender,Pflugerville,365,Snow,A675229
Brown,Mixed,Intact Male,Stray,Austin Area,365,*Fletcher,A758183
Gray,Other,Intact Female,Stray,Austin Area,730,*Tina,A732427
Brown,Mixed,Unknown,Wildlife,Other,730,,A675001
White,Other,Intact Female,Stray,Other,2190,*Lily,A798104
White,Mixed,Spayed Female,Owner Surrender,Austin Area,1460,Schatzi,A711096
Black,Mixed,Intact Male,Stray,Austin Area,30,,A733963
Black,Mixed,Unknown,Wildlife,Austin Area,365,,A674020
White,Mixed,Intact Male,Stray,Austin Area,2920,Rusty,A667174
Gray,Mixed,Intact Male,Stray,Austin Area,14,,A728810
Black,Mixed,Intact Male,Stray,Manor,120,Kent,A682807
Other,Mixed,Spayed Female,Owner Surrender,Other,60,Daisy,A810107
Gray,Mixed,Unknown,Stray,Austin Area,90,,A668490
Other,Mixed,Spayed Female,Stray,Austin Area,1825,Olive,A738231
Brown,Mixed,Neutered Male,Stray,Austin Area,3650,Beaux,A788104
Other,Mixed,Intact Female,Owner Surrender,Austin Area,730,Ada,A692109
Brown,Mixed,Intact Female,Stray,Austin Area,30,Ella,A711229
White,Other,Intact Female,Stray,Austin Area,270,,A797883
Gray,Other,Intact Female,Stray,Austin Area,28,*Goji,A802191
Gray,Mixed,Unknown,Stray,Austin Area,365,,A793336
White,Mixed,Spayed Female,Owner Surrender,Austin Area,365,Lily,A712578
White,Domestic,Spayed Female,Owner Surrender,Austin Area,1460,Fantasia,A799639
White,Mixed,Neutered Male,Owner Surrender,Austin Area,2920,Sarge,A741116
Black,Labrador,Neutered Male,Owner Surrender,Austin Area,365,Bearry,A742314
Other,Mixed,Intact Female,Stray,Austin Area,1460,Lexi,A684798
Black,Mixed,Intact Male,Owner Surrender,Austin Area,60,Winston,A756300
White,Other,Intact Male,Owner Surrender,Austin Area,730,Shorty,A779715
Black,Mixed,Intact Female,Owner Surrender,Austin Area,2190,Hana,A685223
Black,Mixed,Intact Male,Stray,Other,30,,A687473
Black,Mixed,Intact Male,Stray,Austin Area,60,*Cooper,A688567
Black,Mixed,Intact Male,Stray,Other,30,*Jackson,A712173
Black,Labrador,Intact Female,Stray,Austin Area,180,Domino,A690875
Black,Mixed,Intact Female,Stray,Austin Area,365,,A758038
White,Hound,Intact Male,Public Assist,Austin Area,60,*Beau,A816347
Other,Mixed,Spayed Female,Stray,Austin Area,1095,Bella,A694101
Black,Mixed,Neutered Male,Stray,Other,30,*Sparrow,A666762
Black,Mixed,Intact Female,Stray,Austin Area,1095,*Polly,A691803
Black,Mixed,Unknown,Stray,Pflugerville,210,,A786220
Black,Mixed,Neutered Male,Stray,Austin Area,730,,A695251
Brown,Domestic,Intact Male,Stray,Austin Area,28,,A799444
Black,Mixed,Spayed Female,Public Assist,Austin Area,1460,Kayla,A742326
White,Labrador,Intact Female,Owner Surrender,Austin Area,60,Canela,A711896
White,Chihuahua,Intact Male,Owner Surrender,Pflugerville,1095,Kaden,A687800
Gray,Mixed,Intact Female,Stray,Austin Area,21,*Itsy,A794013
White,Mixed,Spayed Female,Public Assist,Austin Area,1825,Tequila,A664941
Gray,Mixed,Intact Male,Owner Surrender,Austin Area,150,Greyworm,A682068
White,Mixed,Intact Male,Owner Surrender,Austin Area,365,Tomtom,A683808
White,Domestic,Intact Male,Stray,Austin Area,90,,A824733
Black,Other,Spayed Female,Owner Surrender,Austin Area,2555,Echo,A812834
White,Domestic,Intact Female,Stray,Other,90,,A804591
Other,Mixed,Intact Female,Stray,Austin Area,14,,A722194
White,Mixed,Intact Male,Public Assist,Other,365,Oso,A705377
Black,Other,Intact Female,Stray,Austin Area,730,Oreo,A730870
White,Mixed,Intact Male,Stray,Austin Area,60,,A764949
Black,Mixed,Intact Male,Stray,Austin Area,365,,A721784
White,Mixed,Intact Female,Stray,Other,30,,A816806
Black,Mixed,Intact Female,Stray,Austin Area,30,*Gia,A664887
Gray,Mixed,Intact Female,Public Assist,Pflugerville,365,,A683331
Gray,Other,Intact Male,Stray,Austin Area,730,*Bill,A674012
Brown,Mixed,Intact Male,Owner Surrender,Austin Area,365,Teddy,A746979
White,Domestic,Intact Male,Stray,Austin Area,21,*Jon,A802705
Black,Mixed,Spayed Female,Owner Surrender,Austin Area,730,*Whitney,A759430
White,Mixed,Intact Female,Stray,Other,60,,A780528
White,Mixed,Spayed Female,Stray,Austin Area,730,*Harmony,A758651
Black,Mixed,Intact Female,Public Assist,Austin Area,1095,Mia,A748338
White,Mixed,Intact Female,Stray,Austin Area,30,*Chrissie,A690816
Black,Shepherd,Spayed Female,Stray,Austin Area,1825,Margaret,A726117
White,Mixed,Neutered Male,Owner Surrender,Other,730,Max,A786674
Black,Mixed,Intact Female,Stray,Austin Area,28,*Piggy,A752120
Brown,Mixed,Spayed Female,Stray,Austin Area,365,*Velvet,A729374
White,Mixed,Intact Female,Stray,Austin Area,365,Emma,A674023
Black,Mixed,Intact Female,Public Assist,Austin Area,150,*Claressa,A732826
Black,Pit Bull,Spayed Female,Public Assist,Other,730,Marigold,A757624
White,Mixed,Spayed Female,Public Assist,Austin Area,1095,Haydee,A720321
White,Mixed,Intact Female,Stray,Austin Area,90,Julia,A784158
Black,Mixed,Intact Male,Stray,Austin Area,30,*Sean,A727451
White,Other,Neutered Male,Stray,Austin Area,330,*Cosmo,A702482
White,Pit Bull,Intact Female,Stray,Austin Area,730,Phat Phat,A702501
Gray,Mixed,Unknown,Stray,Austin Area,2,,A728599
Black,Mixed,Neutered Male,Stray,Austin Area,4015,Peluche,A726708
Orange,Other,Intact Female,Owner Surrender,Austin Area,3285,Honey,A789316
Black,Chihuahua,Intact Male,Stray,Other,240,*Walker,A724243
